,Model vs. VIO Pose,VIO vs. Ground Truth Pose,Model vs. Ground Truth Pose
0,tensor(1.4614),tensor(1.0239),tensor(0.1366)
1,tensor(1.3679),tensor(1.0233),tensor(0.1227)
2,tensor(1.3881),tensor(1.0231),tensor(0.1244)
3,tensor(1.3238),tensor(1.0234),tensor(0.1172)
4,tensor(1.1170),tensor(1.0235),tensor(0.1141)
5,tensor(1.1544),tensor(1.0236),tensor(0.1082)
6,tensor(1.5254),tensor(1.0236),tensor(0.1540)
7,tensor(1.3143),tensor(1.0238),tensor(0.1328)
8,tensor(1.2144),tensor(1.0237),tensor(0.1158)
9,tensor(1.2905),tensor(1.0235),tensor(0.0999)
10,tensor(1.1931),tensor(1.0237),tensor(0.1119)
11,tensor(1.3684),tensor(1.0239),tensor(0.1262)
12,tensor(1.0455),tensor(1.0240),tensor(0.1160)
13,tensor(1.3189),tensor(1.0239),tensor(0.1219)
14,tensor(1.1100),tensor(1.0237),tensor(0.1125)
15,tensor(1.0953),tensor(1.0237),tensor(0.0961)
16,tensor(1.0514),tensor(1.0238),tensor(0.1014)
17,tensor(1.3861),tensor(1.0238),tensor(0.1288)
18,tensor(1.1885),tensor(1.0238),tensor(0.1070)
19,tensor(1.1820),tensor(1.0238),tensor(0.0998)
20,tensor(1.3241),tensor(1.0236),tensor(0.1211)
21,tensor(1.2393),tensor(1.0231),tensor(0.1029)
22,tensor(1.1944),tensor(1.0233),tensor(0.1204)
23,tensor(1.3445),tensor(1.0238),tensor(0.1251)
24,tensor(1.2184),tensor(1.0232),tensor(0.1070)
25,tensor(1.1921),tensor(1.0230),tensor(0.1130)
26,tensor(1.1781),tensor(1.0232),tensor(0.1101)
27,tensor(1.1492),tensor(1.0228),tensor(0.0957)
28,tensor(1.2951),tensor(1.0227),tensor(0.1124)
29,tensor(1.4783),tensor(1.0224),tensor(0.1351)
30,tensor(1.3346),tensor(1.0221),tensor(0.1255)
31,tensor(1.0399),tensor(1.0216),tensor(0.0919)
32,tensor(1.2841),tensor(1.0219),tensor(0.1280)
33,tensor(1.1482),tensor(1.0219),tensor(0.1140)
34,tensor(1.2401),tensor(1.0217),tensor(0.1120)
35,tensor(1.1307),tensor(1.0202),tensor(0.1212)
36,tensor(1.1667),tensor(1.0260),tensor(0.1043)
37,tensor(0.8398),tensor(1.0259),tensor(0.1262)
38,tensor(1.0462),tensor(1.0211),tensor(0.1205)
39,tensor(0.9869),tensor(1.0096),tensor(0.1098)
40,tensor(1.0847),tensor(1.0097),tensor(0.0952)
41,tensor(1.1984),tensor(1.0089),tensor(0.0884)
42,tensor(0.7217),tensor(1.0080),tensor(0.1622)
43,tensor(0.7197),tensor(1.0082),tensor(0.1278)
44,tensor(0.8152),tensor(1.0049),tensor(0.1106)
45,tensor(0.7542),tensor(1.0008),tensor(0.1131)
46,tensor(0.8420),tensor(0.9964),tensor(0.1014)
